lower,upper,cp,gap,assist_09_count,assist_09_auc_gain,assist_09_bacc_gain,assist_17_count,assist_17_auc_gain,assist_17_bacc_gain,junyi_count,junyi_auc_gain,junyi_bacc_gain,auc_wins,bacc_wins,auc_total_gain,bacc_total_gain,weighted_score
0.68,0.8,0.5,-0.3,61,0.04364331471817183,0.012299571547703461,32,0.012597033709216138,0.0008362921191868503,159,0.014150258448984862,-0.0024010924352949256,3,2,0.07039060687637283,0.010734771231595386,0.09172614981430642
0.62,0.82,0.6,-0.35,69,0.02644988129499009,0.02392707848572791,28,0.01811162588202437,-4.85722573273506e-17,123,0.01081341250918487,0.0016192315378519215,3,2,0.05537491968619933,0.025546310023579783,0.09092217951580853
0.62,0.82,0.6,-0.3,69,0.02644988129499009,0.02392707848572791,28,0.01811162588202437,-4.85722573273506e-17,123,0.01081341250918487,0.0016192315378519215,3,2,0.05537491968619933,0.025546310023579783,0.09092217951580853
0.62,0.82,0.6,-0.25,69,0.02644988129499009,0.02392707848572791,28,0.01811162588202437,-4.85722573273506e-17,123,0.01081341250918487,0.0016192315378519215,3,2,0.05537491968619933,0.025546310023579783,0.09092217951580853
0.6,0.88,0.5,-0.35,140,0.04936525972452842,0.033749892083225465,90,0.000679673930702715,-0.004220265331376524,453,0.008443093276213384,0.004011163629617509,3,2,0.05848802693144452,0.03354079038146645,0.08979840215937213
0.65,0.82,0.5,-0.25,76,0.03483691383417767,0.03050532794039905,47,0.002172453129881416,-0.004599303343635376,211,0.016212242812891277,0.006655904971886492,3,2,0.05322160977695036,0.032561929568650165,0.08928614205455729
0.65,0.82,0.55,-0.35,69,0.04410258930946334,0.012850605402178417,39,0.003693697198968532,-0.002130470681275462,170,0.01955126439411331,0.0018882987020241646,3,2,0.06734755090254518,0.01260843342292712,0.08895990964572728
0.65,0.82,0.55,-0.3,69,0.04410258930946334,0.012850605402178417,39,0.003693697198968532,-0.002130470681275462,170,0.01955126439411331,0.0018882987020241646,3,2,0.06734755090254518,0.01260843342292712,0.08895990964572728
0.68,0.85,0.55,-0.35,74,0.050409847298745106,0.01813984268220825,46,0.00818488935082165,-0.0029891842551689335,233,0.008685748585718717,3.469446951953614e-17,3,2,0.06728048523528547,0.015150658427039353,0.08664065724311958
0.68,0.85,0.55,-0.3,74,0.050409847298745106,0.01813984268220825,46,0.00818488935082165,-0.0029891842551689335,233,0.008685748585718717,3.469446951953614e-17,3,2,0.06728048523528547,0.015150658427039353,0.08664065724311958
0.6,0.9,0.6,-0.25,115,0.02952205626819593,0.02760821479642719,54,0.009264673283576233,-0.0034751396333317086,259,0.010649990190839322,0.0066764096523106164,3,2,0.04943671974261148,0.0308094848154061,0.08532214733973571
0.65,0.82,0.5,-0.3,83,0.02994744472747885,0.029078751496699164,52,0.0030497508373992233,-0.0020696740960398016,232,0.016416718771105926,0.004093513614499576,3,2,0.049413914335984,0.03110259101515894,0.08483875775974764
0.65,0.82,0.5,-0.35,83,0.02994744472747885,0.029078751496699164,52,0.0030497508373992233,-0.0020696740960398016,235,0.01652997735851619,0.0030317726441041193,3,2,0.049527172923394265,0.030040850044763482,0.08373455647638849
0.68,0.82,0.5,-0.25,66,0.050265490271979726,0.018828540121471983,42,0.009159227073412393,-0.00447518664909969,186,0.005614897779181609,0.0002927163488758433,3,2,0.06503961512457374,0.014646069821248137,0.0824705452877797
0.65,0.85,0.5,-0.25,89,0.03683536436749012,0.020574579437832537,54,0.00802486417284741,-0.0034751396333317086,268,0.01067087783566896,0.004295039842884624,3,2,0.05553110637600649,0.021394479647385452,0.0823225211819942
0.62,0.82,0.5,-0.3,92,0.018334287339543412,0.020136549667701627,53,0.019192207170209155,-0.003081546883790788,245,0.012112521755901412,0.003302592049902041,3,2,0.04963901626565398,0.02035759483381288,0.08166587466220407
0.62,0.8,0.55,-0.35,65,0.031788002399877585,0.028511633151586505,29,0.00416405498695914,-0.0028851763028260174,138,0.014996052566633715,0.0014437535805999144,3,2,0.05094810995347044,0.027070210429360402,0.08160776298486475
0.62,0.8,0.55,-0.3,65,0.031788002399877585,0.028511633151586505,29,0.00416405498695914,-0.0028851763028260174,138,0.014996052566633715,0.0014437535805999144,3,2,0.05094810995347044,0.027070210429360402,0.08160776298486475
0.62,0.8,0.55,-0.25,65,0.031788002399877585,0.028511633151586505,29,0.00416405498695914,-0.0028851763028260174,138,0.014996052566633715,0.0014437535805999144,3,2,0.05094810995347044,0.027070210429360402,0.08160776298486475
0.62,0.88,0.6,-0.35,103,0.03661148205541058,0.021507150131337825,49,0.0013298232676580563,-0.004503030548900916,240,0.014724911014696883,0.006383739717073018,3,2,0.05266621633776552,0.023387859299509928,0.08015615458581977
0.62,0.88,0.6,-0.3,103,0.03661148205541058,0.021507150131337825,49,0.0013298232676580563,-0.004503030548900916,240,0.014724911014696883,0.006383739717073018,3,2,0.05266621633776552,0.023387859299509928,0.08015615458581977
0.6,0.88,0.5,-0.3,138,0.04567067474775059,0.024397399053631044,80,0.0038338939706126923,-0.005765183890183892,409,0.007004202660869686,0.004524238502867775,3,2,0.05650877137923297,0.023156453666314927,0.07995660447309966
0.7,0.82,0.55,-0.25,54,0.04015546049757922,0.0031263235950159535,35,0.014974112023267143,-0.002340252340252355,143,0.011203966078978868,2.7755575615628914e-17,3,2,0.06633353859982523,0.0007860712547636262,0.0791153337186582
