,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38
z_10,0.24640865521536695,0.3579201199608221,0.2969158328224023,0.32218440074628324,0.3711705120836611,0.0,0.07515784109412756,0.37904028535844436,0.16495714132213932,0.3452989215509716,0.0,0.0,0.0,0.3470507061620269,0.33903579750814833,0.35144471418700596,0.0,0.4229993096128764,0.2796044113739852,0.0,0.0,0.30599329186347696,0.33812516275579735,0.3621138957555962,0.4104401252305938,0.0,0.3898370695005942,0.4628647616149485,0.4011890180925735,0.26575641495866603,0.38339426881131694,0.42855591008547966,0.0,0.3246851123076322,0.3279952058560867,0.0,0.30827005597835455,0.0,0.0
z_11,0.17939761246209024,0.2264299512782852,0.20094671951284454,0.2642353546094922,0.18060014830212906,0.0,0.14520429323144185,0.22280783394934847,0.12603629185825793,0.1592627933074314,0.0,0.0,0.0,0.3358763282927345,0.23108806948322036,0.2247137452199735,0.0,0.2988151086794194,0.1154718887913224,0.0,0.0,0.25824842482744587,0.24871075328281653,0.2536818667924987,0.3047522069247237,0.0,0.3516824175301735,0.32965577204561314,0.2995289363299887,0.1753602981949708,0.39290047371115644,0.3971926086174199,0.0,0.1728391153975734,0.3275455231801835,0.0,0.12935478019843935,0.0,0.0
z_12,0.12078687384448751,0.09586861226209041,0.2221245962347771,0.26639587549291194,0.13506815451027454,0.0,0.3815213043918053,0.10003162930609451,0.14693470203137704,0.18461784987385413,0.0,0.0,0.0,0.21699130876015005,0.12252427202485593,0.08411363375256933,0.0,0.33079041341035376,0.012501566047829572,0.0,0.0,0.3972893771218209,0.29893547025822675,0.36486166130138525,0.18699561946198184,0.0,0.33803963972381346,0.27069005294434395,0.30376513048190756,0.05756026588187545,0.35815146773185164,0.2796981326547511,0.0,0.14446190580797552,0.2661576086507518,0.0,0.06372914718015148,0.0,0.0
z_13,0.0276666955944997,0.05651748884590163,0.04300049033354554,0.16402923546844483,0.01561064754773833,0.0,0.23071596341510814,0.07086904743490013,0.2014172106721537,0.07028042827191534,0.0,0.0,0.0,0.19226461188934277,0.02542106307319201,0.026231152921920617,0.0,0.1717397810016787,0.1978025889056675,0.0,0.0,0.15953390503443676,0.05416738303450194,0.1165504207248491,0.11429242093366486,0.0,0.3067424070816469,0.11713777849966553,0.20329007691897702,0.0008153895003288446,0.329592061164356,0.08328787976467913,0.0,0.0352281751106389,0.19606681816211197,0.0,0.03636454792097488,0.0,0.0
z_14,0.11489666545620189,0.2742582342536901,0.32532191923411075,0.23519128530651104,0.25183041736497747,0.0,0.08025048038014257,0.2066755724085073,0.017144880817325275,0.2067352622551471,0.0,0.0,0.0,0.12550788521148196,0.2132695278610426,0.3082465049000169,0.0,0.23608814916359716,0.16480947388878542,0.0,0.0,0.39531020693476543,0.360140447581104,0.30650248316930373,0.2845501674674527,0.0,0.1039796123465405,0.35738870180139337,0.30914935270926935,0.18673617508743862,0.08655467831027354,0.3221404408622816,0.0,0.22579367510041654,0.1221378579232642,0.0,0.16045233463670366,0.0,0.0
z_15,0.16311082692490309,0.31823775019547407,0.26113793373095984,0.18930284956281693,0.24174419462112634,0.0,0.34664263316788574,0.262852949601627,0.3056301274842786,0.1507732500084531,0.0,0.0,0.0,0.23968380442271023,0.2832368901862506,0.2669801433968162,0.0,0.22531196457115182,0.26554550272823046,0.0,0.0,0.06055131392046315,0.15401787323488858,0.038512444010086896,0.29147686342124024,0.0,0.23836856336779247,0.24194878603401332,0.23351328910650812,0.2189377725322532,0.10920776232691234,0.288006209357077,0.0,0.24360915908557393,0.16321436054638655,0.0,0.20690667527490267,0.0,0.0
z_16,0.06371839752011957,0.22613904611813335,0.28295421158915657,0.1445678808235544,0.19781246370579386,0.0,0.0933908358080355,0.22028904896101525,0.026853002643005542,0.18076395113461025,0.0,0.0,0.0,0.22564134859603782,0.2561061490773786,0.22856902229565723,0.0,0.2586053412164231,0.034079772083855014,0.0,0.0,0.14277341659981707,0.24633026118804555,0.1171449009389318,0.3414872176248167,0.0,0.25836781100559625,0.2496716043437772,0.18678789349261155,0.1474667669948368,0.2190126722767123,0.22027701580056486,0.0,0.16479371231299422,0.13387027404297452,0.0,0.15604871513153593,0.0,0.0
z_17,0.3311555138761342,0.27144627711625463,0.18901666839819725,0.19554619805797946,0.2648650131922835,0.0,0.26449114917266214,0.33626918250966,0.21476274911131532,0.22173577730578295,0.0,0.0,0.0,0.24066941342675727,0.2531361331768897,0.27332465550902185,0.0,0.23538231229908646,0.18476496313675173,0.0,0.0,0.03550156608555102,0.07891020310590353,0.0703815075327241,0.2562954938946988,0.0,0.11775997460774594,0.16037739220892608,0.25615966962984943,0.24239717183848788,0.2085263294379776,0.24876985112148023,0.0,0.28597350626942225,0.23334793318192357,0.0,0.22993943263117014,0.0,0.0
z_18,0.10170101654912563,0.11037909861225156,0.06528295384278748,0.12282599533675571,0.06405890998725036,0.0,0.24855806917423068,0.1605085399663751,0.19672450194894048,0.04967788185871244,0.0,0.0,0.0,0.16639276592484473,0.07925436979261223,0.16421581781357425,0.0,0.13065147171451905,0.07935450709905666,0.0,0.0,0.13813456822503267,0.0482187732513253,0.053650683032920414,0.169560021071718,0.0,0.15152326028689983,0.16445112653550373,0.1707184450829738,0.09986500084731349,0.23223943546830017,0.19496462259052488,0.0,0.0923421483047254,0.21401721971987359,0.0,0.16463649913810144,0.0,0.0
z_19,0.08893911359408202,0.009684015299885726,0.06680736963639088,0.15952185859729093,0.04097962741636567,0.0,0.0439222720720433,0.05987896696538055,0.07843836081072954,0.006699322412875177,0.0,0.0,0.0,0.10815868124619862,0.05215421021673699,0.04023387462056144,0.0,0.13701450286713862,0.09622958981070659,0.0,0.0,0.14097721771450666,0.061759894550071304,0.03746235409809072,0.09565213872608419,0.0,0.22443746658574695,0.10389093562629241,0.18186431641027526,0.028946884730783752,0.166413824735077,0.17958670948464112,0.0,0.03596908813801298,0.11262047570582054,0.0,0.013166865988829208,0.0,0.0
