i,j,same_concept,MI,NMI
23,24,0,0.036716360301360426,0.013857534719754965
23,26,0,0.01874762764855595,0.0071784052966892865
23,27,0,0.02008297507243647,0.0075990496065456055
23,28,0,0.020916240260090598,0.007931511516552046
23,29,0,0.025302132882880277,0.00993590382727706
23,30,1,0.015513131480964499,0.005883615635285296
23,31,0,0.022271116795174548,0.008552673022305717
23,35,0,0.020563234299194554,0.007635409828497368
23,36,0,0.027011892527162254,0.01037006530487096
23,37,0,0.019593229635303414,0.007390886200047395
23,38,0,0.01684556213422458,0.006249450049840424
24,25,0,0.017119512773328228,0.006390114465258897
24,26,0,0.01571144950888062,0.005981011159644736
24,27,0,0.025596731530005197,0.009629249651800457
24,28,0,0.021316598912156537,0.008036500087977988
24,29,0,0.013676909999559561,0.005339676405550693
24,30,0,0.02135251970241838,0.00805138611067405
24,31,0,0.02681772540125276,0.010239022930913331
24,33,0,0.01819363656028014,0.006763155154699077
24,34,0,0.017950339475115165,0.006793190121891422
24,36,0,0.02669062398259378,0.01018736596972013
24,37,0,0.01786409686735759,0.006699590446911741
25,26,0,0.024050988739210105,0.009107632030653554
25,28,0,0.014608949338506616,0.005478759103442878
25,30,0,0.014995042398820548,0.005624493290604726
25,34,0,0.023157968512608113,0.008717977510499788
25,35,0,0.017603186293609126,0.00646432374795486
25,37,0,0.017108502376290902,0.006382537369052859
25,38,0,0.02693458911612356,0.009882288606381578
26,27,1,0.013594675164892064,0.00518838352397708
26,28,0,0.01804207442139131,0.006900662916197035
26,29,0,0.0142848208421897,0.005657923238990976
26,30,0,0.027892113533167777,0.010669848442058084
26,31,0,0.01763039081553763,0.006828948209752154
26,33,0,0.026080911798513136,0.00983575969861894
26,34,0,0.017018434510789104,0.006533953122877608
26,35,0,0.01453313794575809,0.0054429247584727135
26,36,1,0.015841288833818405,0.006134073803711789
27,29,0,0.021259024079937874,0.00832099290178735
27,30,0,0.01629615757500905,0.0061604383561562025
27,32,1,0.01838594300295094,0.00686990267146783
27,33,0,0.031784559438695764,0.01184543216359179
27,34,0,0.021164359873025312,0.008029918152688297
27,35,0,0.02237635576762229,0.008281554568733286
27,36,1,0.01835369513725269,0.007023143991359056
27,38,0,0.01697021773014425,0.00627516700502782
28,29,0,0.01537826058531047,0.0060322613660542595
28,30,0,0.017923455646364744,0.006790304551363171
28,31,0,0.03663824420365677,0.014054558710913448
28,32,0,0.037522776561174497,0.014050790196351689
28,34,0,0.026866754756125644,0.010215562825856768
28,35,0,0.017448850853192886,0.006471879862644782
28,38,0,0.018769050565263862,0.006955386776607403
29,30,0,0.014856503174233425,0.005828570010597001
29,31,0,0.0383096320336379,0.015218380948214602
29,32,0,0.025562310092971937,0.009912513465421432
29,35,0,0.016384133011112363,0.006293105189388598
29,36,0,0.019479248253068713,0.007735693749429224
29,37,0,0.016061693537066216,0.0062673279313527055
29,38,0,0.017605664949283478,0.006756306190040151
30,31,0,0.02280573299658001,0.0087498191999541
30,32,0,0.020505009870002817,0.0076795937618580855
30,33,0,0.01461370141466771,0.005458942667462347
30,34,0,0.01847444828929716,0.007025723410996248
30,35,0,0.02043789485881939,0.007581798878396053
30,37,0,0.018702340902295358,0.007048255294099484
30,38,0,0.01806305378016592,0.00669487755865542
31,32,0,0.03398676251777766,0.012888521925368077
31,33,0,0.017218297157461256,0.006512587262762917
