,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50,acc_51,acc_52,acc_53,acc_54,acc_55,acc_56,acc_57,acc_58,acc_59,acc_60,acc_61,acc_62,acc_63,acc_64,acc_65,acc_66,acc_67,acc_68,acc_69,acc_70,acc_71,acc_72,acc_73,acc_74,acc_75,acc_76,acc_77,acc_78,acc_79,acc_80,acc_81,acc_82,acc_83,acc_84,acc_85,acc_86,acc_87,acc_88,acc_89,acc_90,acc_91,acc_92,acc_93,acc_94,acc_95,acc_96,acc_97,acc_98,acc_99,acc_100,acc_101
z_10,0.05752324398122725,0.053787759692491374,0.04997252767284708,0.0,0.10731169294083068,0.093987988109515,0.0,0.013681735773475572,0.0,0.0,0.06432900162078632,0.04630099043660161,0.03561599993449149,0.01700754012414031,0.12244725091296506,0.0,0.0,0.0,0.0,0.0,0.0,0.12976348363870457,0.0,0.0,0.0,0.07269655104900345,0.0,0.09071477477094768,0.0,0.0,0.00842489700774468,0.0,0.0,0.0256595241338695,0.07828719132581327,0.09262762898641998,0.23200977086398908,0.11429583424766651,0.03793617161496015,0.04854386554138314,0.09791940991531738,0.0,0.0,0.0,0.0,0.10020748940637308,0.047822920977185615,0.14552770512236388,0.102125631850199,0.0,0.0,0.11485677532389152,0.0726516415005056,0.0,0.1651984885460693,0.0,0.0,0.22066029701225573,0.05868873939586334,0.09467686643431147,0.0908099602306385,0.08764677478065873,0.0,0.020047069881296915,0.032195309546549394,0.03190057394595552,0.01456548103675141,0.0,0.0,0.04126513373624743,0.0,0.0,0.14525358559961313,0.0,0.0,0.0,0.0,0.08717832467187621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_11,0.15567851002421043,0.05003357065649216,0.10636458611185927,0.0,0.06594452563877669,0.1536669386142441,0.0,0.1855116973010335,0.0,0.0,0.0914622730660953,0.08514616631091873,0.09541072576630988,0.10046694074313563,0.1550557697823369,0.0,0.0,0.0,0.0,0.0,0.0,0.1421372599665507,0.0,0.0,0.0,0.10782343768864185,0.0,0.061293104532991825,0.0,0.0,0.11804117756158199,0.0,0.0,0.07134040233086682,0.21415326186845735,0.19169860554807158,0.06524939780915225,0.10209718916325407,0.17545349470102103,0.11847802243655615,0.07583630139545809,0.0,0.0,0.0,0.0,0.16394724802398689,0.11700248332213901,0.14638166904486366,0.05126926620212341,0.0,0.0,0.19253049082453835,0.13615094525877214,0.0,0.23083685545600144,0.0,0.0,0.1471756931006734,0.11113995749223837,0.10619846849304294,0.1279286008975067,0.12211002742170828,0.0,0.1011296272199096,0.08312777866348627,0.0439964275578044,0.057801627962361844,0.0,0.0,0.1701915468655952,0.0,0.0,0.17990399001870044,0.0,0.0,0.0,0.0,0.031256327243367105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_12,0.26550174012490213,0.16823091583483007,0.1905681806228058,0.0,0.08980055934345899,0.16936948687403258,0.0,0.16136674881879856,0.0,0.0,0.1814208470261527,0.2003116804531292,0.06262013780741255,0.18332273564415014,0.21534602357857796,0.0,0.0,0.0,0.0,0.0,0.0,0.20193192812471167,0.0,0.0,0.0,0.1539553596574859,0.0,0.16567107333578254,0.0,0.0,0.1250119491547702,0.0,0.0,0.15187308186770537,0.1928190320521243,0.18803211745149168,0.03443953975781365,0.18877767213089042,0.22035718021926123,0.157482547165103,0.1264505716749441,0.0,0.0,0.0,0.0,0.1515651156525049,0.17130108910210368,0.1489028542669574,0.19005270445366837,0.0,0.0,0.16433328246678056,0.21544768303020562,0.0,0.1772549814178418,0.0,0.0,0.1522264009075092,0.19607746902599654,0.13850802427594833,0.15574219131748102,0.20489422732860368,0.0,0.2170679272600162,0.10483145911901749,0.1330028921366844,0.12149337998048362,0.0,0.0,0.22051954582368088,0.0,0.0,0.2227298899749566,0.0,0.0,0.0,0.0,0.11505262892297527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_13,0.12704315255325105,0.1524735061711957,0.21771443425581724,0.0,0.1851654244522998,0.16667331784783992,0.0,0.12917068025713402,0.0,0.0,0.20371916761035597,0.15065086782691248,0.08850122041617009,0.1857518647043534,0.2078459195384139,0.0,0.0,0.0,0.0,0.0,0.0,0.18823797000361323,0.0,0.0,0.0,0.1758177986196782,0.0,0.20217669191391396,0.0,0.0,0.15479662867514174,0.0,0.0,0.1910541525908026,0.2104204587307983,0.18898189945086602,0.027953959167288617,0.2002951959170655,0.21400125375237022,0.17252075058926564,0.17500995012646894,0.0,0.0,0.0,0.0,0.2066285538427947,0.1831331278746417,0.1361765555823065,0.21830828572317126,0.0,0.0,0.1643363690623891,0.22659540301134687,0.0,0.2395335762213728,0.0,0.0,0.12323859510932829,0.17548681498187768,0.16666153685420332,0.1838515073561158,0.2039589649133429,0.0,0.20422798936306544,0.07210273604189232,0.09414976299149687,0.1316084589085585,0.0,0.0,0.16601109383616108,0.0,0.0,0.2563060628801562,0.0,0.0,0.0,0.0,0.0335047497101868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_14,0.022606158029923797,0.01700510555693059,0.04068809397720742,0.0,0.019489989795463483,0.017613250174774574,0.0,0.020956864031486423,0.0,0.0,0.029353302808296032,0.04342132286348013,0.032344800231322676,0.024078956425436063,0.018928611846568712,0.0,0.0,0.0,0.0,0.0,0.0,0.005165980552208066,0.0,0.0,0.0,0.034372225905311214,0.0,0.008296441027214775,0.0,0.0,0.03355139690592838,0.0,0.0,0.05451359220327719,0.037452180971647556,0.041738598363049814,0.03476513406923819,0.03113884165636236,0.04323823126666129,0.01785611325860262,0.11215692511055975,0.0,0.0,0.0,0.0,0.026903962609800658,0.06275053129645997,0.018332504282796556,0.010329875125254228,0.0,0.0,0.03318530119100816,0.07058719525143088,0.0,0.017712541988143576,0.0,0.0,0.018242389875600055,0.01398193182757197,0.08099238204871632,0.022656894405951273,0.045791721648364724,0.0,0.022882252312837713,0.04950089525922829,0.10237854637882962,0.008223105560155911,0.0,0.0,0.008504618319136334,0.0,0.0,0.08672872623282539,0.0,0.0,0.0,0.0,0.02585498051001879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_15,0.20273701893903262,0.13926530573790716,0.21987305389134668,0.0,0.14874591267881634,0.26478309937394384,0.0,0.2086011871963596,0.0,0.0,0.2589708692941178,0.20834883306975316,0.13865872244188657,0.22199128852992947,0.23774994311154493,0.0,0.0,0.0,0.0,0.0,0.0,0.18935793471884277,0.0,0.0,0.0,0.24263446990181287,0.0,0.18733003863873302,0.0,0.0,0.19357581484017017,0.0,0.0,0.17759038018776846,0.2616885110693823,0.2327402642784064,0.10125337852673745,0.2391842837302354,0.2585861392338478,0.13061054345764103,0.06780578695347032,0.0,0.0,0.0,0.0,0.250444615580419,0.17759262245232293,0.21614104078978752,0.14120328979682348,0.0,0.0,0.27628078709980225,0.2010482310896768,0.0,0.18746256106166356,0.0,0.0,0.06819974959194894,0.24667199711918594,0.166683261483204,0.25049361119093994,0.2066186603244361,0.0,0.15298701496578312,0.21602490383603085,0.2969495671342905,0.16197201449229826,0.0,0.0,0.28872899897077564,0.0,0.0,0.2993184111170274,0.0,0.0,0.0,0.0,0.061377802055680726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_16,0.019610357173794474,0.00407540436172015,0.014533455458575088,0.0,0.02730860466996876,0.03912618469010151,0.0,0.03814578166570136,0.0,0.0,0.015659074708035608,0.04687754467988058,0.050050790992182105,0.0909974884654289,0.0014475817433289226,0.0,0.0,0.0,0.0,0.0,0.0,0.02977925620223921,0.0,0.0,0.0,0.08779979402789558,0.0,0.03079414844800729,0.0,0.0,0.0008289441057503354,0.0,0.0,0.06773409023965397,0.066075181816451,0.06697217268821598,0.12093148472345788,0.007203002793097882,0.030873256526352092,0.02392565069337543,0.006495921103936998,0.0,0.0,0.0,0.0,0.01214987090654513,0.06063145516120697,0.013254319066900295,0.11411815110273325,0.0,0.0,0.03182959123482835,0.08065998192302773,0.0,0.06270077327687014,0.0,0.0,0.002426007213295779,0.05275647356575854,0.05014972897463543,0.03683675285987149,0.06155985456028112,0.0,0.0007864652846675795,0.04220994672132668,0.03783438892535309,0.0545686990849573,0.0,0.0,0.10146569803960703,0.0,0.0,0.09090015556968156,0.0,0.0,0.0,0.0,0.06638980614583254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_17,0.10819457131951705,0.0744186646886642,0.13760813320519255,0.0,0.09343075958549787,0.11148392338823128,0.0,0.19690559431410382,0.0,0.0,0.1142847729396176,0.08105117737178887,0.08566617764487167,0.064881775674188,0.15474214244837123,0.0,0.0,0.0,0.0,0.0,0.0,0.16513621364907047,0.0,0.0,0.0,0.15605412891753612,0.0,0.10673047652908922,0.0,0.0,0.11657779020170989,0.0,0.0,0.113180188369043,0.09375639812594139,0.14093147221913604,0.007935368675389472,0.15106216653832222,0.13023113824099164,0.11767863667710575,0.12973067927674437,0.0,0.0,0.0,0.0,0.075208384533104,0.12031361676986503,0.16046863787744192,0.10032580034272484,0.0,0.0,0.14767446297791745,0.07276530597456722,0.0,0.05718830638421155,0.0,0.0,0.11666768814619251,0.1363255881477532,0.0660414427546682,0.11480854942527376,0.13495718199374532,0.0,0.15623769827091177,0.12607320006778583,0.1980831186370091,0.10885835148311959,0.0,0.0,0.17878029997970196,0.0,0.0,0.11195504555225913,0.0,0.0,0.0,0.0,0.13085167765975955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_18,0.18023710651909244,0.19161061313751043,0.18461087772767446,0.0,0.193121397901363,0.19116517170518182,0.0,0.168151539497496,0.0,0.0,0.18977397989958253,0.1563727025615737,0.17862752601532783,0.14938417212096147,0.2193812674008141,0.0,0.0,0.0,0.0,0.0,0.0,0.2067081521070454,0.0,0.0,0.0,0.19362131798891644,0.0,0.20549786682616203,0.0,0.0,0.14418880693081568,0.0,0.0,0.21358119979527718,0.2429413805343044,0.19140263880256406,0.08058707374153187,0.22490145856156385,0.1766984220768137,0.23703469105464126,0.159816186166795,0.0,0.0,0.0,0.0,0.2471495070483064,0.24011707037405444,0.15600303084626846,0.20036752242743788,0.0,0.0,0.16669777545620731,0.2282705753242679,0.0,0.16932706167310826,0.0,0.0,0.08386847580109132,0.24748328316097254,0.21927673360824348,0.2418280272704431,0.2880765317767968,0.0,0.15761107199615257,0.11704145532647464,0.1950078951754197,0.1385330620501688,0.0,0.0,0.14560723871798262,0.0,0.0,0.24740231302789728,0.0,0.0,0.0,0.0,0.09584589312901773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_19,0.07876886851480779,0.10467251476206975,0.14515607914836187,0.0,0.12325949596965646,0.09992826762474463,0.0,0.1546450330723994,0.0,0.0,0.12575098174064234,0.09321941919930184,0.051232494167922006,0.04980471616113845,0.10724500720176584,0.0,0.0,0.0,0.0,0.0,0.0,0.16236227522950608,0.0,0.0,0.0,0.11707517208218277,0.0,0.10776824689743625,0.0,0.0,0.19698942056056803,0.0,0.0,0.04685896222078985,0.09849761262155159,0.18267943125142694,0.015936749612089098,0.1113493179265623,0.07970769034156149,0.11930172481132353,0.093282878204628,0.0,0.0,0.0,0.0,0.042478428180593365,0.19077197443030872,0.11086226729074188,0.11460633741420467,0.0,0.0,0.08010919376559913,0.14920386471807226,0.0,0.043643024234378484,0.0,0.0,0.051047446143649595,0.12607725493273544,0.04829170025081205,0.1402340524071557,0.052299932629449986,0.0,0.07397000054591332,0.06489811456761968,0.07270111024892395,0.1582492273463762,0.0,0.0,0.2047607442008934,0.0,0.0,0.12696922236475247,0.0,0.0,0.0,0.0,0.12198067454178384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
