lower,upper,cp,gap,assist_09_count,assist_09_auc_gain,assist_09_bacc_gain,assist_17_count,assist_17_auc_gain,assist_17_bacc_gain,junyi_count,junyi_auc_gain,junyi_bacc_gain,auc_wins,bacc_wins,auc_total_gain,bacc_total_gain,weighted_score
0.6,0.76,0.5,-0.2,58,0.03906760696284774,0.0657641696718424,20,0.05513338898755562,-0.00542605542605544,118,0.018928829336450508,0.0198515178697493,3,2,0.11312982528685386,0.08018963211553626,0.20935738382549737
0.59,0.76,0.52,-0.225,59,0.04995198266473694,0.06578633910434727,21,0.040353489758759055,-0.0024824272167267777,114,0.016756198509887903,0.021389052412718143,3,2,0.1070616709333839,0.08469296430033864,0.20869322809379026
0.59,0.76,0.48,-0.225,68,0.05789895263604797,0.06349605698091798,23,0.045255081798875184,-0.0011881757533931461,134,0.014378068881091728,0.011630508099180398,3,2,0.11753210331601488,0.07393838932670524,0.20625817050806117
0.59,0.76,0.48,-0.25,71,0.04767768412233033,0.052677991013657305,23,0.045255081798875184,-0.0011881757533931461,142,0.022053575575663356,0.023635570129603094,3,2,0.11498634149686887,0.07512538538986725,0.20513680396470957
0.6,0.76,0.48,-0.225,65,0.04056680543654438,0.06039139646720659,23,0.045255081798875184,-0.0011881757533931461,128,0.016967058059780563,0.02509814638221851,3,2,0.10278894529520012,0.08430136709603195,0.20395058581043846
0.62,0.78,0.5,-0.225,62,0.05511099878830708,0.05376241813364983,25,0.046409668533396876,-0.0032210998877665736,140,0.02525316087603509,0.013645745788602968,3,2,0.12677382819773902,0.06418706403448622,0.2037983050391225
0.63,0.76,0.5,-0.25,56,0.05623351997480386,0.057160012912008645,21,0.04341454215007086,-0.0024824272167267777,118,0.017400244946565134,0.017032962615845762,3,2,0.11704830707143984,0.07171054831112764,0.20310096504479302
0.59,0.77,0.5,-0.2,64,0.04746471389075018,0.061691673405873025,23,0.052268014256042036,-0.0011881757533931461,135,0.018773662267185055,0.009815341230790878,3,2,0.11850639041397726,0.07031883888327076,0.20288899707390218
0.61,0.77,0.5,-0.225,62,0.05546774123842138,0.05499901128010361,24,0.042648019386771985,-0.0032996064002737274,134,0.022456976725677022,0.015992635480617558,3,2,0.12057273735087039,0.06769204036044743,0.2018031857834073
0.61,0.76,0.5,-0.225,59,0.05217676712914799,0.056149200402747644,21,0.04341454215007086,-0.0024824272167267777,122,0.01915255247575385,0.017196409272635736,3,2,0.1147438617549727,0.07086318245865661,0.19977968070536062
0.59,0.76,0.5,-0.25,67,0.060937853926957525,0.06090574994423325,22,0.032726874889884294,-0.0036254454357902838,135,0.01887820098009394,0.01534982964409689,3,2,0.11254292979693575,0.07263013415253985,0.19969909077998357
0.61,0.78,0.48,-0.2,63,0.04541962464048083,0.0485774565810286,24,0.04863445203863658,-0.0032996064002737274,138,0.02829818718546477,0.018931926320467668,3,2,0.12235226386458219,0.06420977650122253,0.19940399566604922
0.59,0.76,0.5,-0.225,65,0.04536332504299499,0.06400918460994102,22,0.032726874889884294,-0.0036254454357902838,130,0.020095141179953722,0.02396478165708931,3,2,0.098185341112833,0.08434852083124006,0.19940356611032106
0.62,0.76,0.48,-0.275,61,0.05880098282979972,0.050710353097512685,23,0.043241265840509795,-0.0011881757533931461,134,0.017771145453813503,0.016179952417188448,3,2,0.11981339412412301,0.06570212976130799,0.19865594983769258
0.62,0.76,0.48,-0.3,61,0.05880098282979972,0.050710353097512685,23,0.043241265840509795,-0.0011881757533931461,134,0.017771145453813503,0.016179952417188448,3,2,0.11981339412412301,0.06570212976130799,0.19865594983769258
0.6,0.78,0.48,-0.2,67,0.041947852938889085,0.059051310301479136,25,0.042774273759667296,-0.0032210998877665736,140,0.024661247120856003,0.01784379641522503,3,2,0.10938337381941239,0.0736740068289376,0.1977921820141375
0.59,0.77,0.52,-0.25,62,0.041186340173340295,0.056564252190164366,24,0.04072333510109663,-0.0032996064002737274,128,0.01601465926398251,0.02982159501115881,3,2,0.09792433453841945,0.08308624080104945,0.19762782349967878
0.59,0.77,0.52,-0.275,62,0.041186340173340295,0.056564252190164366,24,0.04072333510109663,-0.0032996064002737274,128,0.01601465926398251,0.02982159501115881,3,2,0.09792433453841945,0.08308624080104945,0.19762782349967878
0.59,0.77,0.52,-0.3,62,0.041186340173340295,0.056564252190164366,24,0.04072333510109663,-0.0032996064002737274,128,0.01601465926398251,0.02982159501115881,3,2,0.09792433453841945,0.08308624080104945,0.19762782349967878
0.6,0.78,0.48,-0.225,72,0.04633521221087268,0.06380768850408779,27,0.037091952430646384,0.00498787477954149,149,0.019133324657039125,0.010096283819609773,3,3,0.10256048929855818,0.07889184710323904,0.19723070582244503
0.6,0.77,0.52,-0.3,59,0.04537805019577326,0.05259848785597676,24,0.04072333510109663,-0.0032996064002737274,122,0.026322579470562005,0.0207368351949606,3,2,0.1124239647674319,0.07003571665066363,0.19646682474822824
